"expNo" "Rank" "isCorrect" "prob" "verifyRank" "verifyIsCorrect" "verifyProb" "match" "jointProb" "computedSeq" "verifySeq"
1 2 FALSE 0.130510542337339 2 FALSE 0.101432901231427 FALSE 0.0132380629505633 "97,137,95,142,91,146,15,11,148,154" "154,11,148,15,146,91,142,95,97,137"
"expNo" "Rank" "isCorrect" "prob" "verifyRank" "verifyIsCorrect" "verifyProb" "match" "jointProb" "computedSeq" "verifySeq"
1 1 TRUE 0.151273583163734 1 TRUE 0.101432901231427 TRUE 0.0153441184199711 "97,137,95,142,91,146,15,148,11,154" "154,11,148,15,146,91,142,95,137,97"
1 1 TRUE 0.151273583163734 2 FALSE 0.101432901231427 FALSE 0.0153441184199711 "97,137,95,142,91,146,15,148,11,154" "154,11,148,15,146,91,142,95,97,137"
1 2 FALSE 0.130510542337339 1 TRUE 0.101432901231427 FALSE 0.0132380629505633 "97,137,95,142,91,146,15,11,148,154" "154,11,148,15,146,91,142,95,137,97"
1 2 FALSE 0.130510542337339 2 FALSE 0.101432901231427 FALSE 0.0132380629505633 "97,137,95,142,91,146,15,11,148,154" "154,11,148,15,146,91,142,95,97,137"
"expNo" "Rank" "isCorrect" "prob" "verifyRank" "verifyIsCorrect" "verifyProb" "match" "jointProb" "computedSeq" "verifySeq"
1 1 TRUE 0.467320261437909 1 FALSE 0.764705882352941 FALSE 0.357362552864283 "35,34,1,0" "0,1,35,34"
1 1 TRUE 0.467320261437909 2 FALSE 0.102941176470588 FALSE 0.0481064975009612 "35,34,1,0" "0,35,34,1"
1 2 FALSE 0.297385620915033 1 FALSE 0.830449826989619 FALSE 0.246963837438089 "35,34,0,1" "1,35,34,0"
1 2 FALSE 0.297385620915033 2 FALSE 0.110726643598616 FALSE 0.0329285116584119 "35,34,0,1" "1,35,0,34"
"expNo" "Rank" "isCorrect" "prob" "verifyRank" "verifyIsCorrect" "verifyProb" "match" "jointProb" "computedSeq" "verifySeq"
1 1 TRUE 0.467320261437909 1 FALSE 0.764705882352941 FALSE 0.357362552864283 "35,34,1,0" "0,1,35,34"
1 1 TRUE 0.467320261437909 2 FALSE 0.102941176470588 FALSE 0.0481064975009612 "35,34,1,0" "0,35,34,1"
1 2 FALSE 0.297385620915033 1 FALSE 0.830449826989619 FALSE 0.246963837438089 "35,34,0,1" "1,35,34,0"
1 2 FALSE 0.297385620915033 2 FALSE 0.110726643598616 FALSE 0.0329285116584119 "35,34,0,1" "1,35,0,34"
"expNo" "Rank" "isCorrect" "prob" "verifyRank" "verifyIsCorrect" "verifyProb" "match" "jointProb" "computedSeq" "verifySeq"
1 1 FALSE 0 1 FALSE 0 TRUE 0 "0,0,0,0" "0,0,0,0"
1 1 FALSE 0 2 FALSE 0 TRUE 0 "0,0,0,0" "0,0,0,0"
1 2 FALSE 0 1 FALSE 0 TRUE 0 "0,0,0,0" "0,0,0,0"
1 2 FALSE 0 2 FALSE 0 TRUE 0 "0,0,0,0" "0,0,0,0"
"expNo" "Rank" "isCorrect" "prob" "verifyRank" "verifyIsCorrect" "verifyProb" "match" "jointProb" "computedSeq" "verifySeq"
1 1 FALSE 0 1 FALSE 0 TRUE 0 "0,0,0,0" "0,0,0,0"
1 1 FALSE 0 2 FALSE 0 TRUE 0 "0,0,0,0" "0,0,0,0"
1 2 FALSE 0 1 FALSE 0 TRUE 0 "0,0,0,0" "0,0,0,0"
1 2 FALSE 0 2 FALSE 0 TRUE 0 "0,0,0,0" "0,0,0,0"
"expNo" "Rank" "isCorrect" "prob" "verifyRank" "verifyIsCorrect" "verifyProb" "match" "jointProb" "computedSeq" "verifySeq"
1 1 FALSE 0 1 FALSE 0 TRUE 0 "0,0,0,0" "0,0,0,0"
1 1 FALSE 0 2 FALSE 0 TRUE 0 "0,0,0,0" "0,0,0,0"
1 2 FALSE 0 1 FALSE 0 TRUE 0 "0,0,0,0" "0,0,0,0"
1 2 FALSE 0 2 FALSE 0 TRUE 0 "0,0,0,0" "0,0,0,0"
"expNo" "Rank" "isCorrect" "prob" "verifyRank" "verifyIsCorrect" "verifyProb" "match" "jointProb" "computedSeq" "verifySeq"
1 1 TRUE 1 1 TRUE 1 TRUE 1 "10,0" "0,10"
1 1 TRUE 1 2 NA NA NA NA "10,0" "NA,NA"
1 2 NA NA 1 FALSE 0 NA NA "NA,NA" "0,0"
1 2 NA NA 2 FALSE 0 NA NA "NA,NA" "0,0"
"expNo" "Rank" "isCorrect" "prob" "verifyRank" "verifyIsCorrect" "verifyProb" "match" "jointProb" "computedSeq" "verifySeq"
1 1 TRUE 1 1 TRUE 1 TRUE 1 "10,0" "0,10"
1 1 TRUE 1 2 NA NA NA NA "10,0" "NA,NA"
1 2 NA NA 1 FALSE 0 NA NA "NA,NA" "0,0"
1 2 NA NA 2 FALSE 0 NA NA "NA,NA" "0,0"
